SKU,Product Name,Branch,Qty,Value
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,MGB,2,1100
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,MGB,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,EMQ,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,MGB,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,EMQ,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,2,1100
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,SAM,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,TCC,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,MGB,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,ESV,2,1100
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,TCC,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,ESV,1,550
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,EMQ,1,550
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,TCC,1,550
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,TCC,2,1100
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,TCC,2,1100
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,RM9,1,550
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,TCC,1,550
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,TCC,1,550
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,MGB,1,550
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,MGB,1,550
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,MGB,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,ESV,3,1650
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,TCC,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,SAM,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,SAM,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,MGB,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,ESV,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,ESV,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,ESV,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,ESV,2,1100
EW-BPM50,edel+white Pick Stick M (50 pcs),MGB,1,199
EW-BPM50,edel+white Pick Stick M (50 pcs),EMB,1,199
EW-BPM50,edel+white Pick Stick M (50 pcs),EMB,2,398
EW-BPM50,edel+white Pick Stick M (50 pcs),ESV,1,189.05
EW-BPS50,edel+white Pick Stick S (50 pcs),MGB,1,199
EW-BPS50,edel+white Pick Stick S (50 pcs),MGB,1,199
EW-BPS50,edel+white Pick Stick S (50 pcs),MGB,1,199
EW-BPS50,edel+white Pick Stick S (50 pcs),MGB,1,199
EW-BPS50,edel+white Pick Stick S (50 pcs),MGB,1,199
EW-BPS50,edel+white Pick Stick S (50 pcs),MGB,4,796
EW-BPS50,edel+white Pick Stick S (50 pcs),EMB,1,199
EW-BPS50,edel+white Pick Stick S (50 pcs),MGB,1,189.05
EW-BPS50,edel+white Pick Stick S (50 pcs),EMB,1,199
EW-BPS50,edel+white Pick Stick S (50 pcs),RM9,1,189.05
EW-BPS50,edel+white Pick Stick S (50 pcs),SAM,1,199
EW-CC,edel+white CleanCurl 3D,LINE,2,550
EW-CC,edel+white CleanCurl 3D,EW Official,1,275
