SKU,Product Name,Branch,Qty,Value
EDW_CF5460,SET edel+white Care Forte & CS5460,EMQ,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,522.5
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,MGB,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,MGB,3,1595
EDW_CF5460,SET edel+white Care Forte & CS5460,MGB,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,EMQ,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,EMQ,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,2,1100
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,MGB,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,ESV,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,ESV,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,RM9,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,MGB,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,EMB,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,MGB,2,1100
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,TCC,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,MGB,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,TCC,1,522.5
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,MGB,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,TCC,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,MGB,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,MGB,3,1650
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,TCC,1,522.5
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,TCC,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,TCC,1,522.5
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,TCC,3,1567.5
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,MGB,3,1650
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,TCC,2,1045
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,TCC,1,550
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,TCC,2,1045
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,TCC,1,550
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,TCC,1,550
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,TCC,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,EMQ,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,TCC,1,522.5
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,ESV,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,MGB,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,SAM,1,522.5
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,MGB,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,TCC,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,EMB,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,EMQ,1,550
EW-CC,edel+white CleanCurl 3D,ESV,2,550
EW-CC,edel+white CleanCurl 3D,MGB,1,261.25
EW-CC,edel+white CleanCurl 3D,TCC,1,275
EW-CC,edel+white CleanCurl 3D,EMB,1,275
EW-CC,edel+white CleanCurl 3D,MGB,1,261.25
EW-CC,edel+white CleanCurl 3D,ESV,2,550
EW-CC,edel+white CleanCurl 3D,SAM,1,261.25
EW-CC,edel+white CleanCurl 3D,EMB,1,275
EW-CC,edel+white CleanCurl 3D,MGB,2,522.5
EW-CC,edel+white CleanCurl 3D,EMB,5,1375
EW-CC,edel+white CleanCurl 3D,ESV,1,275
EW-CC,edel+white CleanCurl 3D,RM9,1,261.25
EW-CC,edel+white CleanCurl 3D,SAM,2,522.5
EW-CC,edel+white CleanCurl 3D,EMB,1,275
EW-CC,edel+white CleanCurl 3D,EMB,1,275
EW-CC,edel+white CleanCurl 3D,EMQ,2,522.5
EW-CC,edel+white CleanCurl 3D,MGB,2,495
EW-CC,edel+white CleanCurl 3D,EMB,2,550
EW-CC,edel+white CleanCurl 3D,MGB,1,275
EW-CC,edel+white CleanCurl 3D,RM9,1,261.25
EW-CC,edel+white CleanCurl 3D,TCC,4,1017.5
EW-CC,edel+white CleanCurl 3D,MGB,2,550
EW-CC,edel+white CleanCurl 3D,SAM,1,275
EW-CC,edel+white CleanCurl 3D,ESV,1,261.25
EW-CC,edel+white CleanCurl 3D,SAM,1,275
EW-CC,edel+white CleanCurl 3D,ESV,2,550
EW-CC,edel+white CleanCurl 3D,EW Official,2,550
EW-CC,edel+white CleanCurl 3D,RM9,5,1333.75
EW-CC,edel+white CleanCurl 3D,SAM,1,261.25
EW-CC,edel+white CleanCurl 3D,MGB,1,275
EW-CC,edel+white CleanCurl 3D,TCC,2,550
EW-CC,edel+white CleanCurl 3D,EMB,1,275
EW-CC,edel+white CleanCurl 3D,RM9,1,275
EW-CC,edel+white CleanCurl 3D,SAM,1,247.5
EW-CC,edel+white CleanCurl 3D,EMB,4,1072.5
EW-CC,edel+white CleanCurl 3D,EMB,2,550
EW-CC,edel+white CleanCurl 3D,MGB,1,261.25
EW-CC,edel+white CleanCurl 3D,MGB,1,275
EW-CC,edel+white CleanCurl 3D,TCC,1,261.25
EW-CC,edel+white CleanCurl 3D,LINE,1,275
EW-CC,edel+white CleanCurl 3D,ESV,2,522.5
EW-CC,edel+white CleanCurl 3D,RM9,2,522.5
EW-CC,edel+white CleanCurl 3D,ESV,1,275
EW-CC,edel+white CleanCurl 3D,EW Official,1,275
EW-CC,edel+white CleanCurl 3D,SAM,3,783.75
EW-CC,edel+white CleanCurl 3D,EMB,2,550
EW-CC,edel+white CleanCurl 3D,ESV,1,261.25
EW-CC,edel+white CleanCurl 3D,TCC,2,522.5
EW-CC,edel+white CleanCurl 3D,MGB,3,825
EW-CC,edel+white CleanCurl 3D,RM9,2,550
EW-CC,edel+white CleanCurl 3D,ESV,2,550
EW-CC,edel+white CleanCurl 3D,EMB,3,825
EW-CC,edel+white CleanCurl 3D,LINE,1,275
EW-CC,edel+white CleanCurl 3D,RM9,1,275
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,1,40
EW-PL5,edel+white Easy Tape (Mint) 5 m.,RM9,2,80
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,2,80
EW-PL5,edel+white Easy Tape (Mint) 5 m.,ESV,1,40
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,6,238
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,1,36
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,1,40
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMQ,5,200
EW-PL5,edel+white Easy Tape (Mint) 5 m.,MGB,2,80
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,3,120
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,1,40
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMQ,5,200
EW-PL5,edel+white Easy Tape (Mint) 5 m.,RM9,1,38
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,1,0
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMQ,1,40
EW-PL5,edel+white Easy Tape (Mint) 5 m.,SAM,1,40
EW-SG8PLUS,edel+white Sonic Generation 8+,EW Official,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,EMB,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,ESV,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,SAM,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,ESV,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,RM9,2,11900
EW-SG8PLUS,edel+white Sonic Generation 8+,EMQ,2,11900
EW-SG8PLUS,edel+white Sonic Generation 8+,EMB,2,11900
EW-SG8PLUS,edel+white Sonic Generation 8+,EMB,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,RM9,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,EMQ,2,11900
EW-SG8PLUS,edel+white Sonic Generation 8+,RM9,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,EMB,1,5950
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMB,1,189.05
EW-WF40,edel+white Woven Floss | Cinnamon Mint,ESV,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,MGB,2,378.1
EW-WF40,edel+white Woven Floss | Cinnamon Mint,RM9,1,179.1
EW-WF40,edel+white Woven Floss | Cinnamon Mint,MGB,2,398
EW-WF40,edel+white Woven Floss | Cinnamon Mint,ESV,1,189.05
EW-WF40,edel+white Woven Floss | Cinnamon Mint,MGB,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,RM9,1,189.05
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMB,4,796
EW-WF40,edel+white Woven Floss | Cinnamon Mint,ESV,2,388.05
EW-WF40,edel+white Woven Floss | Cinnamon Mint,MGB,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMB,5,975.1
EW-WF40,edel+white Woven Floss | Cinnamon Mint,MGB,1,189.05
EW-WF40,edel+white Woven Floss | Cinnamon Mint,SAM,2,388.05
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMB,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMQ,2,388.05
EW-WF40,edel+white Woven Floss | Cinnamon Mint,LINE,4,796
EW-WF40,edel+white Woven Floss | Cinnamon Mint,MGB,2,378.1
EW-WF40,edel+white Woven Floss | Cinnamon Mint,RM9,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,Shopee,2,398
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMB,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMQ,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,ESV,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,LINE MyShop,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,RM9,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,Shopee,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMB,1,189.05
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMQ,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,ESV,1,0
EW-WF40,edel+white Woven Floss | Cinnamon Mint,ESV,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,LINE,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,LINE MyShop,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,SAM,2,388.05
EW-WF40,edel+white Woven Floss | Cinnamon Mint,Shopee,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMB,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMQ,1,189.05
EW-WF40,edel+white Woven Floss | Cinnamon Mint,ESV,3,597
EW-WF40,edel+white Woven Floss | Cinnamon Mint,MGB,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMB,2,398
EW-WF40,edel+white Woven Floss | Cinnamon Mint,LINE,3,597
EW-WF40,edel+white Woven Floss | Cinnamon Mint,Lazada,2,278.58
EW-WF40,edel+white Woven Floss | Cinnamon Mint,MGB,3,557.2
EW-WF40,edel+white Woven Floss | Cinnamon Mint,ESV,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,Lazada,1,139.29
EW-WF40,edel+white Woven Floss | Cinnamon Mint,Shopee,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,Shopee,2,398
EW-WF40,edel+white Woven Floss | Cinnamon Mint,RM9,1,189.05
EW-WF40,edel+white Woven Floss | Cinnamon Mint,MGB,2,398
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EW Official,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,RM9,1,189.05
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMB,1,189.05
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMQ,2,378.1
EW-WF40,edel+white Woven Floss | Cinnamon Mint,LINE,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,MGB,1,189.05
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMB,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,MGB,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMB,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,Shopee,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,Shopee,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EMQ,1,189.05
EW-WF40,edel+white Woven Floss | Cinnamon Mint,EW Official,1,199
EW-WF40,edel+white Woven Floss | Cinnamon Mint,LINE,3,597
EW-WF40,edel+white Woven Floss | Cinnamon Mint,MGB,3,550.61
EW-WF40,edel+white Woven Floss | Cinnamon Mint,LINE,1,199
