SKU,Product Name,Branch,Qty,Value
EDW_CF5460,SET edel+white Care Forte & CS5460,MGB,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,ESV,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,MGB,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,ESV,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,1,550
EDW_CF5460,SET edel+white Care Forte & CS5460,TCC,2,1100
EDW_CF5460,SET edel+white Care Forte & CS5460,MGB,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,MGB,1,522.5
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,TCC,2,1100
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,TCC,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,MGB,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,TCC,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,ESV,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,ESV,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,ESV,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,TCC,2,1100
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,MGB,2,1100
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,SAM,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,MGB,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,ESV,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,ESV,2,1100
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,EMQ,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,ESV,2,1100
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,MGB,1,550
EDW_CFUF,SET edel+white Care Forte & UltraSoft Flosserbrush,TCC,1,550
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,TCC,1,550
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,EMQ,3,1650
EDW_WH5460,SET edel+white Anti-Plaque + Whitening & CS5460,EMQ,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,ESV,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,TCC,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,MGB,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,TCC,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,TCC,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,ESV,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,TCC,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,ESV,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,TCC,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,MGB,1,550
EDW_WHUF,SET edel+white Anti-Plaque + Whitening & UltraSoft Flosserbrush,TCC,1,550
EW-CC,edel+white CleanCurl 3D,EMQ,1,275
EW-CC,edel+white CleanCurl 3D,ESV,4,1045
EW-CC,edel+white CleanCurl 3D,MGB,1,275
EW-CC,edel+white CleanCurl 3D,TCC,3,825
EW-CC,edel+white CleanCurl 3D,RM9,1,275
EW-CC,edel+white CleanCurl 3D,MGB,1,275
EW-CC,edel+white CleanCurl 3D,RM9,1,261.25
EW-CC,edel+white CleanCurl 3D,RM9,2,522.5
EW-CC,edel+white CleanCurl 3D,EMB,1,275
EW-CC,edel+white CleanCurl 3D,ESV,5,1333.75
EW-CC,edel+white CleanCurl 3D,RM9,1,261.25
EW-CC,edel+white CleanCurl 3D,MGB,1,275
EW-CC,edel+white CleanCurl 3D,SAM,1,261.25
EW-CC,edel+white CleanCurl 3D,EMB,2,550
EW-CC,edel+white CleanCurl 3D,RM9,1,261.25
EW-CC,edel+white CleanCurl 3D,EW Official,1,275
EW-CC,edel+white CleanCurl 3D,EMB,1,275
EW-CC,edel+white CleanCurl 3D,ESV,1,275
EW-CC,edel+white CleanCurl 3D,EMB,3,783.75
EW-CC,edel+white CleanCurl 3D,MGB,2,536.25
EW-CC,edel+white CleanCurl 3D,EMQ,1,275
EW-CC,edel+white CleanCurl 3D,LINE,1,275
EW-CC,edel+white CleanCurl 3D,RM9,1,275
EW-CC,edel+white CleanCurl 3D,EMB,3,783.75
EW-CC,edel+white CleanCurl 3D,EMQ,2,522.5
EW-CC,edel+white CleanCurl 3D,EW Official,1,275
EW-CC,edel+white CleanCurl 3D,ESV,1,261.25
EW-CC,edel+white CleanCurl 3D,ESV,3,770
EW-CC,edel+white CleanCurl 3D,MGB,1,275
EW-CC,edel+white CleanCurl 3D,RM9,1,275
EW-CC,edel+white CleanCurl 3D,EW Official,1,275
EW-CC,edel+white CleanCurl 3D,RM9,3,825
EW-CC,edel+white CleanCurl 3D,TCC,1,261.25
EW-CC,edel+white CleanCurl 3D,SAM,1,275
EW-CC,edel+white CleanCurl 3D,EMB,3,783.75
EW-CC,edel+white CleanCurl 3D,RM9,1,275
EW-CC,edel+white CleanCurl 3D,RM9,2,550
EW-CC,edel+white CleanCurl 3D,EW Official,1,275
EW-CC,edel+white CleanCurl 3D,SAM,1,275
EW-CC,edel+white CleanCurl 3D,EMQ,1,275
EW-CC,edel+white CleanCurl 3D,RM9,1,261.25
EW-CC,edel+white CleanCurl 3D,ESV,1,275
EW-CC,edel+white CleanCurl 3D,MGB,1,275
EW-CC,edel+white CleanCurl 3D,ESV,2,550
EW-CC,edel+white CleanCurl 3D,SAM,1,275
EW-CC,edel+white CleanCurl 3D,TCC,1,275
EW-CC,edel+white CleanCurl 3D,ESV,1,261.25
EW-CC,edel+white CleanCurl 3D,TCC,2,550
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,1,38
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,3,116
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMQ,1,40
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMQ,1,40
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,5,0
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,1,38
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMQ,1,40
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMQ,2,80
EW-PL5,edel+white Easy Tape (Mint) 5 m.,TCC,1,40
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,3,120
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMQ,1,40
EW-PL5,edel+white Easy Tape (Mint) 5 m.,RM9,1,40
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,2,72
EW-PL5,edel+white Easy Tape (Mint) 5 m.,RM9,1,0
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,2,80
EW-PL5,edel+white Easy Tape (Mint) 5 m.,SAM,1,0
EW-PL5,edel+white Easy Tape (Mint) 5 m.,TCC,1,38
EW-PL5,edel+white Easy Tape (Mint) 5 m.,RM9,1,38
EW-PL5,edel+white Easy Tape (Mint) 5 m.,TCC,1,40
EW-PL5,edel+white Easy Tape (Mint) 5 m.,EMB,1,40
EW-SG8PLUS,edel+white Sonic Generation 8+,EMB,2,11900
EW-SG8PLUS,edel+white Sonic Generation 8+,EMB,3,17850
EW-SG8PLUS,edel+white Sonic Generation 8+,EMQ,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,EW Official,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,RM9,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,EMB,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,EMQ,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,ฝ่ายขาย,12,0
EW-SG8PLUS,edel+white Sonic Generation 8+,RM9,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,EMB,2,11900
EW-SG8PLUS,edel+white Sonic Generation 8+,SAM,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,MGB,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,EMB,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,MGB,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,RM9,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,EMB,1,5950
EW-SG8PLUS,edel+white Sonic Generation 8+,ESV,1,5950
EW-WF40,edel+white Woven Floss | Cinnamon Mint,ESV,1,199
