SKU,Name,SAM,TCC,RM9,ESV,MGB,EMB,EMQ,On Time,HQ,Saimai,TOPS,Total
P_EW-INT,edel+white Intensive Flosserbrush,22,27,48,14,10,71,30,140,420,57,0,839
EW-CC,edel+white CleanCurl 3D,27,11,10,26,27,13,39,50,162,26,0,391
EW-PL5,edel+white Easy Tape (Mint) 5 m.,6,6,14,12,6,18,19,-9,1271,0,0,1352
EW-USF,[Redeem] edel+white UltraSoft Flosserbrush (Foil),18,24,23,23,24,18,20,97,-61,18,0,265
EW-WF40,edel+white Woven Floss | Cinnamon Mint,12,5,8,16,21,30,17,62,69,25,0,265
P_EW-FT70,edel+white Easy Tape (Mint),14,11,11,9,12,24,10,37,64,12,0,204
P_EW-FTGR,edel+white Easy Tape (Caipirinha),15,19,15,16,15,30,22,28,79,38,0,277
P_EW-GUM75,edel+white Care Forte 75 ml.,7,7,13,8,11,27,20,36,47,41,0,217
P_EW-OT75,edel+white Osmotonic 75 ml.,-84,-84,-84,-84,-84,-84,-84,-84,-84,0,0,0
P_EW-PO,edel+white Pro-Ortho,17,5,10,16,18,31,29,48,384,21,0,579
P_EW-Refill-DC,edel+white Dual Clean Refill (2 pcs),2,2,3,4,2,4,5,7,35,28,0,92
P_EW-Refill-TF,edel+white Target & Focus Refill (2 pcs),2,2,3,2,3,5,2,4,5,10,0,38
P_EW-Refill-WH,edel+white Whitening Refill (2 pcs),3,2,3,2,4,2,3,4,1,3,0,27
P_EW-SE,edel+white Stain Eraser,31,13,23,24,29,31,33,63,679,7,0,933
P_EW-SF,edel+white SuperSoft Floss 50 strands,5,4,5,2,4,2,5,20,100,3,0,150
P_EW-SG8,edel+white Sonic Generation 8,-84,-84,-84,-84,-84,-84,-84,-84,0,-84,0,0
EW-SG8PLUS,edel+white Sonic Generation 8+,4,3,0,3,2,2,5,11,0,3,0,33
P_EW-SR75,edel+white Stop Sensitive 75 ml.,-84,-84,-84,-84,-84,-84,-84,-84,-84,0,0,0
P_EW-TW75,edel+white Anti-Plaque + Whitening 75 ml.,13,4,15,5,9,26,17,29,131,35,0,284
P_EW-US,edel+white UltraSoft Flosserbrush,53,49,76,65,57,72,52,60,-35,77,0,561
P_EW-US-P3,edel+white UltraSoft Flosserbrush (Pack 3),1,-16,7,5,-39,3,-80,3,-84,0,0,19
EW-WJR2,edel+white FlosserPik Replacement,2,2,3,3,3,6,3,11,28,6,0,67
P_F_EW_CRF12,edel+white Care Forte 12 ml.,-84,-84,-84,-84,-84,-84,-84,28,-84,9,0,37
P_F_EW_OSM12,edel+white Osmotonic 12 ml.,-84,-84,-84,-84,-84,-84,-84,0,-84,0,0,0
P_F_EW_STS12,edel+white Stop Sensitive12 ml.,-84,-84,-84,-84,-84,-84,-84,0,-84,0,0,0
P_F_EW_WHT12,edel+white Anti-Plaque + Whitening 12 ml.,-84,-81,6,-84,-84,-84,-84,-55,-84,-52,0,6
PEW-WJ180,edel+white FlosserPik,1,4,5,0,3,7,2,10,132,7,0,171
PEW-US-Duo,edel+white UltraSoft Flosserbrush Duo,0,0,0,0,0,0,0,14,-84,-84,0,14
EW-BPS50,edel+white Pick Stick S (50 pcs),0,0,0,0,-6,0,0,0,228,0,0,228
EW-BPM50,edel+white Pick Stick M (50 pcs),0,0,0,0,0,0,0,0,252,0,0,252
TOPS_7640131978309,edel+white Easy Tape 70 m.,0,0,0,0,0,0,0,0,0,0,-58,0
